Matéria,Código,N_o,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Qtde Vagas Disponíveis,Local
PROJETO INTEGRADOR DE ENGENHARIA 2,FGA0304,03,2025.1,ALEX REIS (90h),4T45 6T2345,35,30,5,FCTE - S1 / AUDITÓRIO
PROJETO INTEGRADOR DE ENGENHARIA 2,FGA0304,04,2025.1,POLLIANA CANDIDA OLIVEIRA MARTINS (90h),4T45 6T2345,35,35,0,FCTE - S1 / AUDITÓRIO
PROJETO INTEGRADOR DE ENGENHARIA 2,FGA0304,05,2025.1,RHANDER VIANA (90h),4T45 6T2345,35,19,16,FCTE - S1 / AUDITÓRIO
GESTÃO DA PRODUÇÃO E QUALIDADE,FGA0307,01,2025.1,MARIO DE OLIVEIRA ANDRADE (60h),35T45,130,69,61,FCTE - S3
GESTÃO DA PRODUÇÃO E QUALIDADE,FGA0307,02,2025.1,REJANE MARIA DA COSTA FIGUEIREDO (60h),35T23,130,117,13,FCTE - I9
ELETRÔNICA EMBARCADA,FGA0308,01,2025.1,GUILLERMO ALVAREZ BESTARD (90h),246T45,35,15,20,FCTE - LAB SS
SISTEMAS OPERACIONAIS EMBARCADOS,FGA0309,01,2025.1,DIOGO CAETANO GARCIA (90h),246T23,35,15,20,FCTE - LAB SS
MÉTODOS DE DESENVOLVIMENTO DE SOFTWARE,FGA0312,01,2025.1,HILMER RODRIGUES NERI (60h),35T45,48,42,6,FCTE - I7
MÉTODOS DE DESENVOLVIMENTO DE SOFTWARE,FGA0312,02,2025.1,CARLA SILVA ROCHA AGUIAR (60h),46M34,80,82,-2,FCTE - MOCAP
MÉTODOS DE DESENVOLVIMENTO DE SOFTWARE,FGA0312,03,2025.1,RICARDO AJAX DIAS KOSLOSKI (60h),24T23,70,70,0,FCTE - S7
REQUISITOS DE SOFTWARE,FGA0313,01,2025.1,GEORGE MARSICANO CORREA (60h),35M12,49,49,0,FCTE - S7 / I6
REQUISITOS DE SOFTWARE,FGA0313,02,2025.1,GEORGE MARSICANO CORREA (60h),35M34,48,42,6,FCTE - I7 / I3
REQUISITOS DE SOFTWARE,FGA0313,03,2025.1,ANDRE BARROS DE SALES (60h),35M12,70,70,0,FCTE - S3
TESTES DE SOFTWARE,FGA0314,01,2025.1,ELAINE VENSON (60h),35T23,80,80,0,FCTE - S10 / S9
TESTES DE SOFTWARE,FGA0314,02,2025.1,ELAINE VENSON (60h),35T45,80,80,0,FCTE - S9 / I10
QUALIDADE DE SOFTWARE 1,FGA0315,01,2025.1,CRISTIANE SOARES RAMOS (60h),24M34,60,51,9,FCTE - S6
QUALIDADE DE SOFTWARE 1,FGA0315,02,2025.1,CRISTIANE SOARES RAMOS (60h),24T23,60,60,0,FCTE - S6
ENGENHARIA DE PRODUTO DE SOFTWARE,FGA0316,01,2025.1,HILMER RODRIGUES NERI (60h),35T23,48,12,36,FCTE - I7
ENGENHARIA DE PRODUTO DE SOFTWARE,FGA0316,02,2025.1,RICARDO MATOS CHAIM (60h),46M5 46T1,49,49,0,FCTE - I6
GERÊNCIA DE CONFIGURAÇÃO E EVOLUÇÃO DE SOFTWARE,FGA0317,01,2025.1,RENATO CORAL SAMPAIO (60h),35T45,80,80,0,FCTE - MOCAP
GERÊNCIA DE CONFIGURAÇÃO E EVOLUÇÃO DE SOFTWARE,FGA0317,02,2025.1,CARLA SILVA ROCHA AGUIAR (60h),24T45,90,77,13,FCTE - S3 / S4
FELICIDADE,FGA0320,01,2025.1,WANDER CLEBER MARIA PEREIRA DA SILVA (60h),35T23,140,140,0,FCTE - AUDITÓRIO
