Matéria,Código,N_o,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Qtde Vagas Disponíveis,Local
PRÁTICA DE ELETROMAGNETISMO,FGA0120,02,2025.1,GERARDO ANTONIO IDROBO PIZO (30h),3T45,80,14,66,FCTE - I10
PRÁTICA DE ELETROMAGNETISMO,FGA0120,03,2025.1,GERARDO ANTONIO IDROBO PIZO (30h),6M5 6T1,80,26,54,FCTE - MOCAP
TÓPICOS ESPECIAIS 4 EM ENGENHARIA AEROESPACIAL,FGA0121,01,2025.1,"RAFAEL CASTILHO FARIA MENDES (30h)
THIAGO FELIPPE KURUDEZ CORDEIRO (30h)",46M12,45,44,1,FCTE - S8
EFICIÊNCIA ENERGÉTICA EM INSTALAÇÕES ELÉTRICAS INDUSTRIAIS,FGA0122,01,2025.1,LOANA NUNES VELASCO (60h),46T45,20,4,16,FCTE - MULTIUSO
PROJETO DE ALGORITMOS,FGA0124,01,2025.1,MAURICIO SERRANO (60h),26M34,130,130,0,FCTE - S3 / S4
ENGENHARIA DE SOFTWARE AUTOMOTIVO,FGA0131,01,2025.1,EVANDRO LEONARDO SILVA TEIXEIRA (60h),24T45,20,5,15,FCTE - I6
INSTRUMENTAÇÃO ELETRÔNICA PARA ENGENHARIA,FGA0132,01,2025.1,CLAUDIA PATRICIA OCHOA DIAZ (60h),35M34,45,15,30,FCTE - I3 / I7
ENGENHARIA ECONÔMICA,FGA0133,01,2025.1,PAULA MEYER SOARES (60h),35T45,160,160,0,FCTE - AUDITÓRIO
ENGENHARIA ECONÔMICA,FGA0133,02,2025.1,GLAUCENY CIRNE DE MEDEIROS (60h),46T45,130,130,0,FCTE - S9
SISTEMAS DE BANCO DE DADOS 1,FGA0137,01,2025.1,MAURICIO SERRANO (60h),26M12,80,80,0,FCTE - MOCAP
SISTEMAS DE BANCO DE DADOS 1,FGA0137,02,2025.1,GLAUCO VITOR PEDROSA (60h),35M34,80,80,0,FCTE - S9 / MOCAP
SISTEMAS DE BANCO DE DADOS 1,FGA0137,03,2025.1,GLAUCO VITOR PEDROSA (60h),35T23,80,45,35,FCTE - S9 / S10
GESTÃO AMBIENTAL NO SETOR ENERGÉTICO,FGA0141,01,2025.1,MARIA VITORIA DUARTE FERRARI (60h),46M34,45,21,24,FCTE - S5
FUNDAMENTOS DE ARQUITETURA DE COMPUTADORES,FGA0142,01,2025.1,TIAGO ALVES DA FONSECA (60h),26M12,120,120,0,FCTE - I9
FUNDAMENTOS DE ARQUITETURA DE COMPUTADORES,FGA0142,02,2025.1,TIAGO ALVES DA FONSECA (60h),24M34,80,80,0,FCTE - LAB. MOCAP / S3
ESTRUTURAS DE DADOS 1,FGA0146,01,2025.1,NILTON CORREIA DA SILVA (60h),35M34,80,82,-2,FCTE - MOCAP / S9
ESTRUTURAS DE DADOS 1,FGA0146,02,2025.1,JOHN LENON CARDOSO GARDENGHI (60h),35M34,130,131,-1,FCTE - I9
ENGENHARIA DE SEGURANÇA DO TRABALHO,FGA0148,01,2025.1,MARIA ALZIRA DE ARAUJO NUNES (30h),2M34,70,70,0,FCTE - I2
ENGENHARIA DE SEGURANÇA DO TRABALHO,FGA0148,02,2025.1,MARIA ALZIRA DE ARAUJO NUNES (30h),2M12,120,117,3,FCTE - S3
ERGONOMIA DO PRODUTO,FGA0152,01,2025.1,MATEUS RODRIGUES MIRANDA (60h),46M12,15,3,12,FCTE - MULTIUSO
MECANICA DOS SÓLIDOS 1 PARA ENGENHARIA,FGA0154,01,2025.1,GLAUCENY CIRNE DE MEDEIROS (60h),46T23,60,34,26,FCTE - I3
MECANICA DOS SÓLIDOS 1 PARA ENGENHARIA,FGA0154,02,2025.1,SUZANA MOREIRA AVILA (60h),35M34,80,29,51,FCTE - S3
MECANICA DOS SÓLIDOS 1 PARA ENGENHARIA,FGA0154,03,2025.1,SERGIO HENRIQUE DA SILVA CARNEIRO (60h),35M12,80,18,62,FCTE - S6
INTRODUÇÃO AO DESIGN E CONCEPÇÃO DE VEÍCULOS,FGA0155,01,2025.1,ENEIDA GONZALEZ VALDES (60h),46T23,48,25,23,FCTE - I7
COMBUSTÍVEIS E BIOCOMBUSTÍVEIS,FGA0156,01,2025.1,JULIANA PETROCCHI RODRIGUES (60h),46T23,20,6,14,FCTE - MULTIUSO
PROBABILIDADE E ESTATÍSTICA APLICADO A ENGENHARIA,FGA0157,01,2025.1,MARILIA MIRANDA FORTE GOMES (60h),46T23,130,122,8,FCTE - S3
PROBABILIDADE E ESTATÍSTICA APLICADO A ENGENHARIA,FGA0157,02,2025.1,RODRIGO ANDRES MIRANDA CERDA (60h),24M34,130,90,40,FCTE - AUDITÓRIO
ORIENTAÇÃO A OBJETOS,FGA0158,01,2025.1,ANDRE LUIZ PERON MARTINS LANNA (60h),24T23,49,49,0,FCTE - I6
ORIENTAÇÃO A OBJETOS,FGA0158,02,2025.1,HENRIQUE GOMES DE MOURA (60h),46T23,80,34,46,FCTE - S10
ORIENTAÇÃO A OBJETOS,FGA0158,03,2025.1,HENRIQUE GOMES DE MOURA (60h),35M5 35T1,80,80,0,FCTE - S10
ORIENTAÇÃO A OBJETOS,FGA0158,06,2025.1,ANDRE LUIZ PERON MARTINS LANNA (60h),24M5 24T1,80,80,0,FCTE - I10
MÉTODOS NUMÉRICOS PARA ENGENHARIA,FGA0160,01,2025.1,MANUEL NASCIMENTO DIAS BARCELOS JUNIOR (60h),35M5 35T1,60,60,0,FCTE - I3
MÉTODOS NUMÉRICOS PARA ENGENHARIA,FGA0160,02,2025.1,RODRIGO ANDRES MIRANDA CERDA (60h),24M5 24T1,125,125,0,FCTE - S4
MÉTODOS NUMÉRICOS PARA ENGENHARIA,FGA0160,03,2025.1,LINDOMAR BOMFIM DE CARVALHO DE JESUS (60h),24M34,45,34,11,FCTE - I4
INTRODUÇÃO À ENGENHARIA,FGA0163,01,2025.1,PATRICIA REGINA SOBRAL BRAGA (30h),4T23,140,131,9,FCTE - AUDITÓRIO
INTRODUÇÃO À ENGENHARIA,FGA0163,02,2025.1,RUDI HENRI VAN ELS (30h),2M12,140,88,52,FCTE - AUDITÓRIO
INTRODUÇÃO À ENGENHARIA,FGA0163,03,2025.1,RICARDO RAMOS FRAGELLI (30h),2T23,140,94,46,FCTE - AUDITÓRIO
HUMANIDADES E CIDADANIA,FGA0164,01,2025.1,SANDRA MARIA FALEIROS LIMA (60h),46T23,60,28,32,FCTE - I2
HUMANIDADES E CIDADANIA,FGA0164,02,2025.1,SANDRA MARIA FALEIROS LIMA (60h),46M5 46T1,100,97,3,FCTE - S2
HUMANIDADES E CIDADANIA,FGA0164,03,2025.1,VANESSA MARIA DE CASTRO (60h),35T23,100,100,0,FCTE - S2
HUMANIDADES E CIDADANIA,FGA0164,04,2025.1,VANESSA MARIA DE CASTRO (60h),35T45,100,99,1,FCTE - S2
ELEMENTOS E MÉTODOS EM ELETRÔNICA,FGA0166,01,2025.1,FABIANO ARAUJO SOARES (60h),35T23,60,24,36,FCTE - I3
SISTEMAS AUTOMOTIVOS,FGA0167,01,2025.1,SALEH BARBOSA KHALIL (60h),35T23,49,34,15,FCTE - I6
DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR,FGA0168,01,2025.1,EUCLIDES DELGADO MARQUES SANT ANNA (90h),246M12,75,74,1,FCTE - I10
DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR,FGA0168,02,2025.1,SALEH BARBOSA KHALIL (90h),235M34,75,60,15,FCTE - I10
DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR,FGA0168,04,2025.1,MATEUS RODRIGUES MIRANDA (90h),356T45,75,69,6,FCTE - S10
DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR,FGA0168,05,2025.1,ENEIDA GONZALEZ VALDES (90h),246M12,75,66,9,FCTE - S10
DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR,FGA0168,06,2025.1,HIMILSYS HERNANDEZ GONZALEZ (90h),235M34,75,75,0,FCTE - S10
FONTES DE ENERGIA E TECNOLOGIAS DE CONVERSÃO,FGA0169,01,2025.1,AUGUSTO CESAR DE MENDONCA BRASIL (60h),46M12,60,60,0,FCTE - S7
FUNDAMENTOS DE SISTEMAS OPERACIONAIS,FGA0170,01,2025.1,DANIEL SUNDFELD LIMA (60h),24M5 24T1,130,130,0,FCTE - S1
INTERAÇÃO HUMANO COMPUTADOR,FGA0173,01,2025.1,"ANDRE BARROS DE SALES (45h)
EDUARDO GABRIEL QUEIROZ PALMEIRA (15h)",35M34,45,36,9,FCTE - S6
INTERAÇÃO HUMANO COMPUTADOR,FGA0173,02,2025.1,REJANE MARIA DA COSTA FIGUEIREDO (60h),35T45,49,49,0,FCTE - I6
INTERAÇÃO HUMANO COMPUTADOR,FGA0173,04,2025.1,SERGIO ANTONIO ANDRADE DE FREITAS (60h),24M34,60,60,0,FCTE - I3 / S9
DESENVOLVIMENTO SUSTENTÁVEL,FGA0174,01,2025.1,JOSIANE DO SOCORRO AGUIAR DE SOUZA DE OLIVEIRA CAMPOS (60h),24M34,30,19,11,FCTE - I5 / S4
ENGENHARIA DE PETRÓLEO E GÁS,FGA0175,01,2025.1,FELIPE CHAGAS STORTI (60h),35T45,45,11,34,FCTE - S5
MECANICA DOS SÓLIDOS 2 PARA ENGENHARIA,FGA0179,01,2025.1,MAURA ANGELICA MILFONT SHZU (60h),35M34,60,55,5,FCTE - I2
MÉTODOS EXPERIMENTAIS PARA ENGENHARIA,FGA0188,01,2025.1,RODRIGO ARBEY MUNOZ MENESES (60h),35M12,15,11,4,FCTE - I5 / LAB MATERIAIS
PROJETO DE ELEMENTOS AUTOMOTIVOS,FGA0190,01,2025.1,"RITA DE CASSIA SILVA (60h)
ALESSANDRO BORGES DE SOUSA OLIVEIRA (30h)",246M34,15,2,13,FCTE - NIT/LDS
MATERIAIS COMPOSTOS E PLÁSTICOS,FGA0191,01,2025.1,"SANDRA MARIA DA LUZ (30h)
EMMANUEL PACHECO ROCHA LIMA (30h)",35T23,45,22,23,FCTE - I4
ARQUITETURA DE MOTORES DE COMBUSTÃO INTERNA,FGA0194,01,2025.1,FABIO ALFAIA DA CUNHA (60h),46T23,25,2,23,FCTE - I4
PROJETO COM CIRCUITOS RECONFIGURAVEIS,FGA0198,01,2025.1,DANIEL MAURICIO MUNOZ ARBOLEDA (60h),35M12,35,11,24,FCTE - LAB SS
DINÂMICA DOS FLUÍDOS,FGA0204,01,2025.1,"AUGUSTO CESAR DE MENDONCA BRASIL (15h)
LUCIANO GONCALVES NOLETO (60h)",26M34 4M3,25,25,0,FCTE - S8 / LAB TERM / I3
DINÂMICA DOS FLUÍDOS,FGA0204,02,2025.1,"AUGUSTO CESAR DE MENDONCA BRASIL (15h)
LUCIANO GONCALVES NOLETO (60h)",26M34 4M4,25,25,0,FCTE - S8 / LAB TERM / I3
ARQUITETURA E DESENHO DE SOFTWARE,FGA0208,01,2025.1,MILENE SERRANO (60h),26M34,70,70,0,FCTE - S7
ARQUITETURA E DESENHO DE SOFTWARE,FGA0208,02,2025.1,MILENE SERRANO (60h),26M12,80,80,0,FCTE - S4
PARADIGMAS DE PROGRAMAÇÃO,FGA0210,01,2025.1,EDSON ALVES DA COSTA JUNIOR (60h),35T6 35N1,130,130,0,FCTE - S2
FUNDAMENTOS DE REDES DE COMPUTADORES,FGA0211,01,2025.1,CLENIO EMIDIO DA FONSECA (60h),26T45,80,75,5,FCTE - I10 / MOCAP
FUNDAMENTOS DE REDES DE COMPUTADORES,FGA0211,02,2025.1,CLENIO EMIDIO DA FONSECA (60h),7M1234,80,75,5,FCTE - MOCAP
TÓPICOS ESPECIAIS EM ENGENHARIA AUTOMOTIVA,FGA0214,01,2025.1,BRUNO LUIZ PEREIRA (60h),35M34,25,12,13,FCTE - CONTEINER 04 - Fund Veículos Elétricos
TÓPICOS ESPECIAIS EM ENGENHARIA AUTOMOTIVA,FGA0214,02,2025.1,SANDRA MARIA DA LUZ (60h),6M1234,25,16,9,FCTE - LDTEA 303
PROCESSAMENTO DE SINAIS,FGA0219,01,2025.1,CRISTIANO JACQUES MIOSSO RODRIGUES MENDES (60h),46M12,45,11,34,FCTE - I1
INTELIGÊNCIA ARTIFICIAL,FGA0221,01,2025.1,FABIANO ARAUJO SOARES (60h),35T45,60,60,0,FCTE - S6
ELETRÔNICA VEICULAR,FGA0226,01,2025.1,EVANDRO LEONARDO SILVA TEIXEIRA (60h),35M34,25,12,13,FCTE - LDTEA 303
PROJETO DE SISTEMAS AUTOMOTIVOS,FGA0228,01,2025.1,CARLA TATIANA MOTA ANFLOR (60h),24M12,45,6,39,FCTE - S5
